deviceId,wap,time
a967da6c-d10d-4ae1-a4dd-cfe99d25c643,wap-11,2026-01-15T00:01:14
46696c32-99ce-4bbe-b72f-3835a8cc546b,wap-14,2026-01-15T00:12:06
3e6f4bdf-929d-4ef8-88aa-9fd07a9039de,wap-03,2026-01-15T00:21:07
3e6f4bdf-929d-4ef8-88aa-9fd07a9039de,wap-09,2026-01-15T01:00:17
2266c6c2-8aff-4c71-b6d7-a712f554659a,wap-13,2026-01-15T01:10:07
46696c32-99ce-4bbe-b72f-3835a8cc546b,wap-20,2026-01-15T01:23:34
b9cac4ce-9e31-44bd-a371-3c7def4d2d04,wap-07,2026-01-15T01:27:09
72baae26-e22a-4752-9c28-4a59f437340c,wap-12,2026-01-15T01:31:22
1a6527df-5b82-42dd-8711-5cd9a69a7dcb,wap-19,2026-01-15T02:06:32
197ff2e5-f43e-44d3-a314-01cdb5af9967,wap-11,2026-01-15T02:12:24
730ff8ec-3e4b-4520-a8cf-c00231e6a525,wap-11,2026-01-15T02:27:14
a967da6c-d10d-4ae1-a4dd-cfe99d25c643,wap-03,2026-01-15T02:29:41
ff9fd59b-eaab-414b-9a94-7564e3c87cce,wap-05,2026-01-15T02:31:11
730ff8ec-3e4b-4520-a8cf-c00231e6a525,wap-22,2026-01-15T02:31:56
dc1f0977-2bf4-4d50-9ec2-e27ab2023a97,wap-08,2026-01-15T02:34:47
c98fe0ae-7941-43f4-b559-2b78e32a657b,wap-14,2026-01-15T02:39:05
4105285a-8168-4cfc-b090-8102e4e9b5b6,wap-18,2026-01-15T02:44:40
ce53d3de-b427-42ac-9310-898f1a43d29f,wap-16,2026-01-15T02:52:02
d58bedc5-e068-4c43-92c0-6742bc9dd507,wap-22,2026-01-15T02:59:05
bfaed422-3986-4dc3-bed6-a59e4b68a490,wap-17,2026-01-15T03:05:14
acec8294-c05d-4548-a747-9c4662fb1654,wap-04,2026-01-15T03:18:35
d4c0b7dd-5a0e-485e-a78e-eade7c2624dd,wap-14,2026-01-15T03:21:37
1a6527df-5b82-42dd-8711-5cd9a69a7dcb,wap-22,2026-01-15T03:24:00
640052e9-26d6-47d0-a43a-f4d895a4d2c0,wap-08,2026-01-15T03:24:40
46696c32-99ce-4bbe-b72f-3835a8cc546b,wap-22,2026-01-15T03:26:03
b9cac4ce-9e31-44bd-a371-3c7def4d2d04,wap-12,2026-01-15T03:31:16
acec8294-c05d-4548-a747-9c4662fb1654,wap-21,2026-01-15T03:33:53
fbbac586-853e-45fc-8b8d-350fb5fc4121,wap-18,2026-01-15T03:38:24
ce53d3de-b427-42ac-9310-898f1a43d29f,wap-13,2026-01-15T03:43:16
cf772dd6-927e-45aa-ae9c-a899e7abdf85,wap-09,2026-01-15T03:46:17
d4c0b7dd-5a0e-485e-a78e-eade7c2624dd,wap-10,2026-01-15T03:52:27
87f9e4cf-7e5e-400b-a48a-4ea78579feb2,wap-02,2026-01-15T03:56:08
1a6527df-5b82-42dd-8711-5cd9a69a7dcb,wap-07,2026-01-15T03:58:42
ff9fd59b-eaab-414b-9a94-7564e3c87cce,wap-09,2026-01-15T04:10:14
46696c32-99ce-4bbe-b72f-3835a8cc546b,wap-18,2026-01-15T04:12:09
87f9e4cf-7e5e-400b-a48a-4ea78579feb2,wap-19,2026-01-15T04:12:37
72baae26-e22a-4752-9c28-4a59f437340c,wap-17,2026-01-15T04:32:14
40aa13b6-a684-44f4-a9b6-4e6b8a0bae00,wap-14,2026-01-15T04:38:03
98307369-e402-44a8-bcc3-acfefe273d88,wap-18,2026-01-15T04:40:28
b9cac4ce-9e31-44bd-a371-3c7def4d2d04,wap-03,2026-01-15T04:49:21
dc1f0977-2bf4-4d50-9ec2-e27ab2023a97,wap-16,2026-01-15T05:02:11
46696c32-99ce-4bbe-b72f-3835a8cc546b,wap-22,2026-01-15T05:04:49
8e61769a-7fb4-4f1e-b75c-46dd47953494,wap-06,2026-01-15T05:06:13
2c97fd8b-0f17-4df2-98a0-e48ddeb6dfe7,wap-02,2026-01-15T05:21:53
8e61769a-7fb4-4f1e-b75c-46dd47953494,wap-05,2026-01-15T05:23:30
ff9fd59b-eaab-414b-9a94-7564e3c87cce,wap-02,2026-01-15T05:25:36
d4c0b7dd-5a0e-485e-a78e-eade7c2624dd,wap-06,2026-01-15T05:33:53
1a6527df-5b82-42dd-8711-5cd9a69a7dcb,wap-06,2026-01-15T05:37:37
d2095dd9-e6ba-416a-b965-b9e86194dba7,wap-10,2026-01-15T05:39:34
640052e9-26d6-47d0-a43a-f4d895a4d2c0,wap-11,2026-01-15T05:39:39
4105285a-8168-4cfc-b090-8102e4e9b5b6,wap-18,2026-01-15T05:44:36
ff9fd59b-eaab-414b-9a94-7564e3c87cce,wap-17,2026-01-15T05:52:54
8fb78cca-f7c6-402c-ba16-5c467497dc5f,wap-17,2026-01-15T06:00:43
d58bedc5-e068-4c43-92c0-6742bc9dd507,wap-01,2026-01-15T06:26:46
fe9b13fa-f407-423d-bae3-ab9423bc2354,wap-09,2026-01-15T06:30:05
dc3ec6ff-0a10-467d-9205-d7a320d55541,wap-14,2026-01-15T06:31:49
8fb78cca-f7c6-402c-ba16-5c467497dc5f,wap-02,2026-01-15T06:55:14
ff9fd59b-eaab-414b-9a94-7564e3c87cce,wap-15,2026-01-15T06:55:31
197ff2e5-f43e-44d3-a314-01cdb5af9967,wap-11,2026-01-15T07:01:53
6e7da759-93fb-42d8-8421-7e27a41b990b,wap-12,2026-01-15T07:14:31
dc1f0977-2bf4-4d50-9ec2-e27ab2023a97,wap-09,2026-01-15T07:45:38
921be843-4dae-4beb-88ec-0224dc17357b,wap-23,2026-01-15T07:58:03
c3b544ce-8753-4409-b3b6-a8d0e79d1b19,wap-03,2026-01-15T08:01:04
4105285a-8168-4cfc-b090-8102e4e9b5b6,wap-19,2026-01-15T08:01:33
2d5a8bc0-b122-4b69-83b6-ccd1fed0dfc3,wap-01,2026-01-15T08:17:11
bfaed422-3986-4dc3-bed6-a59e4b68a490,wap-03,2026-01-15T08:17:51
46696c32-99ce-4bbe-b72f-3835a8cc546b,wap-13,2026-01-15T08:28:32
197ff2e5-f43e-44d3-a314-01cdb5af9967,wap-04,2026-01-15T08:33:48
5cefb644-3638-474a-ba8c-9c559f415ef7,wap-14,2026-01-15T08:36:22
6e7da759-93fb-42d8-8421-7e27a41b990b,wap-21,2026-01-15T08:52:59
fa67ce40-8974-4f02-9c69-d41eb0212e40,wap-10,2026-01-15T08:53:38
98307369-e402-44a8-bcc3-acfefe273d88,wap-20,2026-01-15T08:54:52
2d5a8bc0-b122-4b69-83b6-ccd1fed0dfc3,wap-03,2026-01-15T09:01:33
d2095dd9-e6ba-416a-b965-b9e86194dba7,wap-06,2026-01-15T09:02:07
46696c32-99ce-4bbe-b72f-3835a8cc546b,wap-12,2026-01-15T09:05:06
5cefb644-3638-474a-ba8c-9c559f415ef7,wap-15,2026-01-15T09:32:15
cf772dd6-927e-45aa-ae9c-a899e7abdf85,wap-08,2026-01-15T09:38:38
c98fe0ae-7941-43f4-b559-2b78e32a657b,wap-10,2026-01-15T09:39:20
39d38d06-32d6-45f0-b7ac-fe441390db2a,wap-03,2026-01-15T09:43:13
fbbac586-853e-45fc-8b8d-350fb5fc4121,wap-07,2026-01-15T09:44:53
1a6527df-5b82-42dd-8711-5cd9a69a7dcb,wap-08,2026-01-15T10:00:48
730ff8ec-3e4b-4520-a8cf-c00231e6a525,wap-01,2026-01-15T10:04:25
c98fe0ae-7941-43f4-b559-2b78e32a657b,wap-21,2026-01-15T10:07:14
c3b544ce-8753-4409-b3b6-a8d0e79d1b19,wap-06,2026-01-15T10:07:43
339ef60d-c011-4833-9355-dd4ecfd57edf,wap-07,2026-01-15T10:08:20
c98fe0ae-7941-43f4-b559-2b78e32a657b,wap-08,2026-01-15T10:08:29
fbbac586-853e-45fc-8b8d-350fb5fc4121,wap-09,2026-01-15T10:08:37
640052e9-26d6-47d0-a43a-f4d895a4d2c0,wap-14,2026-01-15T10:26:46
d4c0b7dd-5a0e-485e-a78e-eade7c2624dd,wap-20,2026-01-15T10:40:27
8e61769a-7fb4-4f1e-b75c-46dd47953494,wap-06,2026-01-15T10:41:09
640052e9-26d6-47d0-a43a-f4d895a4d2c0,wap-02,2026-01-15T10:48:10
168c1be5-e938-44e4-8abb-4cb41fe69bb3,wap-21,2026-01-15T11:00:51
d58bedc5-e068-4c43-92c0-6742bc9dd507,wap-11,2026-01-15T11:15:38
2d5a8bc0-b122-4b69-83b6-ccd1fed0dfc3,wap-07,2026-01-15T11:18:07
197ff2e5-f43e-44d3-a314-01cdb5af9967,wap-22,2026-01-15T11:20:57
acec8294-c05d-4548-a747-9c4662fb1654,wap-02,2026-01-15T11:25:04
1a6527df-5b82-42dd-8711-5cd9a69a7dcb,wap-09,2026-01-15T11:26:20
fbbac586-853e-45fc-8b8d-350fb5fc4121,wap-01,2026-01-15T11:30:41
8fb78cca-f7c6-402c-ba16-5c467497dc5f,wap-07,2026-01-15T11:31:07
4105285a-8168-4cfc-b090-8102e4e9b5b6,wap-20,2026-01-15T11:33:08
c98fe0ae-7941-43f4-b559-2b78e32a657b,wap-15,2026-01-15T11:43:57
acec8294-c05d-4548-a747-9c4662fb1654,wap-08,2026-01-15T11:48:24
168c1be5-e938-44e4-8abb-4cb41fe69bb3,wap-11,2026-01-15T12:01:19
cf772dd6-927e-45aa-ae9c-a899e7abdf85,wap-21,2026-01-15T12:08:39
2c97fd8b-0f17-4df2-98a0-e48ddeb6dfe7,wap-19,2026-01-15T12:18:33
640052e9-26d6-47d0-a43a-f4d895a4d2c0,wap-22,2026-01-15T12:29:02
39d38d06-32d6-45f0-b7ac-fe441390db2a,wap-17,2026-01-15T12:47:05
640052e9-26d6-47d0-a43a-f4d895a4d2c0,wap-22,2026-01-15T12:56:06
da306e5d-cde6-40aa-85f3-a5f8a7ab9176,wap-07,2026-01-15T13:10:00
72baae26-e22a-4752-9c28-4a59f437340c,wap-08,2026-01-15T13:12:56
5cefb644-3638-474a-ba8c-9c559f415ef7,wap-12,2026-01-15T13:16:59
fe9b13fa-f407-423d-bae3-ab9423bc2354,wap-18,2026-01-15T13:26:33
